City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bredasdorp,-34.5322,20.0403,68.0,68,58,9.22,ZA,1620148354
Husavik,66.0449,-17.3389,39.2,41,20,6.91,IS,1620148354
Mataura,-46.1927,168.8643,50.0,75,72,4.0,NZ,1620148119
Beloha,-25.1667,45.05,68.18,63,2,10.33,MG,1620148355
Castro,-24.7911,-50.0119,77.95,37,3,6.08,BR,1620148355
Constitución,-35.3333,-72.4167,63.36,63,31,3.02,CL,1620148355
Puerto Ayora,-0.7393,-90.3518,80.6,74,40,17.27,EC,1620148356
Rikitea,-23.1203,-134.9692,78.73,81,18,12.57,PF,1620148356
Cabo San Lucas,22.8909,-109.9124,79.0,64,1,6.91,MX,1620148232
Turaif,31.6725,38.6637,89.6,20,40,5.75,SA,1620148356
Vaini,-21.2,-175.2,77.0,78,75,10.36,TO,1620148356
Bluff,-46.6,168.3333,50.0,75,62,4.0,NZ,1620148357
Chui,-33.6971,-53.4616,66.47,59,98,17.49,UY,1620148357
Dobrinka,52.1653,40.4731,43.63,63,51,12.44,RU,1620148357
Puerto Escondido,15.85,-97.0667,84.2,74,40,5.75,MX,1620148357
New Norfolk,-42.7826,147.0587,45.0,84,73,2.95,AU,1620148357
Albany,42.6001,-73.9662,59.0,83,100,1.01,US,1620148103
Hong Kong,22.2855,114.1577,75.99,89,69,3.36,HK,1620148311
Mkushi,-13.6202,29.3939,62.33,72,93,6.26,ZM,1620148358
Punta Arenas,-53.15,-70.9167,48.2,66,75,27.63,CL,1620148078
Hermanus,-34.4187,19.2345,61.0,83,23,10.29,ZA,1620148358
Ushuaia,-54.8,-68.3,46.4,66,75,25.32,AR,1620148358
Hithadhoo,-0.6,73.0833,84.6,64,66,4.0,MV,1620148215
Aksu,41.1231,80.2644,67.21,16,0,2.95,CN,1620148359
Petropavlovsk-Kamchatskiy,53.0452,158.6483,42.8,52,100,20.13,RU,1620148359
Saint Paul Harbor,57.79,-152.4072,39.2,87,75,6.91,US,1620148359
Longyearbyen,78.2186,15.6401,32.0,74,75,10.36,SJ,1620148360
Atuona,-9.8,-139.0333,79.97,78,31,17.83,PF,1620148360
Djibouti,11.5,42.5,86.0,74,20,9.22,DJ,1620148360
Kahului,20.8947,-156.47,71.01,83,20,3.44,US,1620148110
Barrow,71.2906,-156.7887,15.8,73,90,3.44,US,1620148360
Hilo,19.7297,-155.09,72.0,73,20,3.44,US,1620148361
Asbury Park,40.2204,-74.0121,69.8,73,75,10.36,US,1620148361
Arraial do Cabo,-22.9661,-42.0278,84.2,69,0,14.97,BR,1620148361
Mazyr,52.0495,29.2456,45.32,67,63,8.1,BY,1620148361
Airai,-8.9266,125.4092,57.67,83,99,2.98,TL,1620148362
Tateyama,34.9833,139.8667,64.99,74,100,10.0,JP,1620148362
Hasaki,35.7333,140.8333,55.4,94,0,5.75,JP,1620148362
Kavieng,-2.5744,150.7967,82.2,75,30,0.98,PG,1620148363
Trairi,-3.2778,-39.2689,82.99,71,54,10.02,BR,1620148148
Sibolga,1.7427,98.7792,76.96,92,100,2.59,ID,1620148363
Upernavik,72.7868,-56.1549,33.62,78,31,5.61,GL,1620148363
Cape Town,-33.9258,18.4232,64.4,88,75,10.36,ZA,1620148363
Khovd,48.0056,91.6419,49.62,20,60,3.89,MN,1620148364
Cotonou,6.3654,2.4183,84.2,79,40,6.91,BJ,1620148364
Kailua,21.4022,-157.7394,73.4,78,75,8.05,US,1620148322
Port Alfred,-33.5906,26.891,68.22,69,1,2.48,ZA,1620148278
Severo-Kuril'sk,50.6789,156.125,36.27,93,100,11.88,RU,1620148364
Woodburn,45.1437,-122.8554,61.0,72,20,6.91,US,1620148365
Terrace,54.5163,-128.6035,44.6,93,90,9.22,CA,1620148365
Banjar,-8.19,114.9675,82.4,89,20,10.36,ID,1620148365
Vestmanna,62.1564,-7.1664,39.2,65,20,29.93,FO,1620148365
Tuktoyaktuk,69.4541,-133.0374,19.4,100,90,4.61,CA,1620148366
Port Lincoln,-34.7333,135.8667,57.56,60,92,8.95,AU,1620148366
Bethel,41.3712,-73.414,59.0,88,97,1.99,US,1620148366
San Felipe,10.3399,-68.7425,76.5,77,97,3.53,VE,1620148366
Kiryat Gat,31.61,34.7642,79.0,52,58,1.01,IL,1620148367
Fortuna,40.5982,-124.1573,52.0,100,90,8.05,US,1620148367
Bengkulu,-3.8004,102.2655,76.98,90,100,4.09,ID,1620148367
Arrondissement de Lannion,48.75,-3.4167,51.8,62,20,19.57,FR,1620148367
Ponta do Sol,32.6667,-17.1,66.0,48,1,11.99,PT,1620148368
Ghanzi,-21.5667,21.7833,65.39,33,0,6.73,BW,1620148368
Slave Lake,55.2834,-114.769,42.8,42,90,2.3,CA,1620148368
Upata,8.0086,-62.3989,87.01,70,95,4.0,VE,1620148369
Umm Kaddadah,13.6017,26.6876,87.57,29,46,7.7,SD,1620148369
Zyryanka,65.75,150.85,30.16,99,100,2.68,RU,1620148369
Kapaa,22.0752,-159.319,73.4,88,20,8.05,US,1620148369
Qaanaaq,77.484,-69.3632,30.04,71,98,4.47,GL,1620148370
East London,-33.0153,27.9116,60.8,82,0,2.3,ZA,1620148370
Ponnāni,10.767,75.9252,80.6,78,75,3.44,IN,1620148370
Poso,-1.3959,120.7524,79.0,82,88,3.71,ID,1620148370
Oranjemund,-28.55,16.4333,61.97,90,2,3.74,NA,1620148371
Bonthe,7.5264,-12.505,82.78,75,99,9.98,SL,1620148371
Matara,5.9485,80.5353,77.67,88,100,2.64,LK,1620148284
Nanortalik,60.1432,-45.2371,43.32,55,81,13.47,GL,1620148371
Cardston,49.2,-113.3019,51.8,40,16,9.22,CA,1620148372
Šibenik,43.7272,15.9058,63.0,51,0,4.61,HR,1620148372
Firozpur,30.9167,74.6,82.4,42,40,9.22,IN,1620148372
Florianópolis,-27.6146,-48.5012,80.6,65,0,14.97,BR,1620148373
Ilulissat,69.2167,-51.1,42.8,33,1,5.75,GL,1620148373
Belmonte,-15.8631,-38.8828,82.4,65,40,6.91,BR,1620148373
Eilat,29.5581,34.9482,104.0,10,0,16.11,IL,1620148373
Champasak,14.75,106.0,75.13,85,96,3.58,LA,1620148374
Ambon City,-3.6954,128.1814,78.8,94,40,5.75,ID,1620148374
Nyurba,63.2842,118.3319,33.48,96,100,2.04,RU,1620148374
Tanabe,33.7333,135.3667,60.76,86,100,6.91,JP,1620148374
Souillac,-20.5167,57.5167,77.0,94,40,3.44,MU,1620148375
Alofi,-19.0595,-169.9187,75.2,94,75,8.05,NU,1620148375
Aksarka,66.5606,67.7975,21.15,92,7,3.58,RU,1620148375
Salalah,17.0151,54.0924,86.0,74,20,9.22,OM,1620148376
Yabēlo,4.8833,38.0833,62.85,78,78,5.66,ET,1620148376
Tiksi,71.6872,128.8694,25.81,94,100,4.45,RU,1620148376
São João da Barra,-21.6403,-41.0511,84.2,58,40,6.91,BR,1620148376
Awjilah,29.1081,21.2869,99.36,11,100,9.37,LY,1620148377
